Name,Genre,Status,Monthly Listeners,Top Track,Top Track Streams,Signal,Source,Source URL,Spotify URL,Spotify Artist ID,Image URL,Checked At,Shortlisted,Priority,Rep Status,Label,Territory,Socials,Notes,Last Synced
Sung Holly,Bedroom Pop,Qualifies,37007,Only Takes One,196810,"Debut single produced by Rostam (ex-Vampire Weekend). 74K TikTok / 100K IG, no public label info found.",Hear Hear (Substack),https://hearhear.substack.com/p/7-rising-artists-to-know-in-2026,https://open.spotify.com/artist/0z4BrD9oXnSUhUd80zLgCL,0z4BrD9oXnSUhUd80zLgCL,https://i.scdn.co/image/ab6761610000e5eb474cefccfb9e995988b538c2,2026-08-18,No,,,,,,,
Dottie Andersson,Garage Pop,Established,72425,Heavy Objects,2690027,"Swedish artist, bright garage-pop. Praised by Northern Transmissions for 'contradiction done right.' 72K monthly listeners would qualify, but top track 'Heavy Objects' has 2.69M streams — over the cap.",Hear Hear (Substack),https://hearhear.substack.com/p/7-rising-artists-to-know-in-2026,https://open.spotify.com/artist/360qeHf7kan9K9bKFPNwVM,360qeHf7kan9K9bKFPNwVM,https://i.scdn.co/image/ab6761610000e5eb14a593bdd0b60a4fba498c15,2026-08-18,No,,,,,,,
Eileen Alister,Pop,Qualifies,90860,Lifetime Lover,735360,"23-year-old Swiss singer-songwriter, moody dark-pop edge. First headline tour sold out within hours (small European venues). Signed to indie label H2 Music Records — not majors.",Rolling Stone UK,https://www.rollingstone.co.uk/music/rolling-stone-uk-future-of-music-2026-full-list-61467/,https://open.spotify.com/artist/2XPubfqZp6J4uEEJop2OL2,2XPubfqZp6J4uEEJop2OL2,https://i.scdn.co/image/ab6761610000e5eb5598b458e458433df18d51af,2026-08-18,No,,,,,,,
LOLITAH,Femme Pop,Qualifies,15640,Bounce,377330,"London-based, reshaping femme pop through vulnerability and cinematic storytelling. Debut EP earned praise from NME, I-D, and BBC Radio 1. Fully self-released, no label.",Hear Hear (Substack),https://hearhear.substack.com/p/essential-summer-2026-playlists,https://open.spotify.com/artist/4VljXOkEAZ4EWzvbvJszyT,4VljXOkEAZ4EWzvbvJszyT,https://i.scdn.co/image/ab6761610000e5eb4de4f8ade09727b25001ba5a,2026-08-18,No,,,,,,,
reiko,Hyperpop,Qualifies,72669,paraknowya,98865,Hyperpop artist becoming more prominent as the subgenre edges into the mainstream. Self-released under her own imprint (REGALIA // callreiko).,One Write Music (Substack),https://onewritemusic.substack.com/archive,https://open.spotify.com/artist/1swF0fjO1rWmJEbygzTpf2,1swF0fjO1rWmJEbygzTpf2,https://i.scdn.co/image/ab6761610000e5eb669c30994e62277c8a9b1d0d,2026-08-18,No,,,,,,,
AmiiFy,"Indie Pop, R&B",Qualifies,89137,Ways,712704,"Nigerian-born, self-taught producer (BandLab on his phone) blending funkadelic, indie pop/rock and R&B. 'Ways' got real TikTok traction. Fully self-released.",One Write Music (Substack),https://onewritemusic.substack.com/archive,https://open.spotify.com/artist/0gdCxcoEObSShoJ3HayPnJ,0gdCxcoEObSShoJ3HayPnJ,https://i.scdn.co/image/ab6761610000e5eb7f7d777ff16f6d5c050ab72a,2026-08-18,No,,,,,,,
acloudyskye,"Bedroom Pop, Dream Pop",Qualifies,59920,To tell you the truth,513717,"One-person bedroom project, minimal public presence. Sits in the same lane as wishlane / Glacier / tsubi club (Spotify's own 'fans also like' cluster). Self-released.",One Write Music (Substack),https://onewritemusic.substack.com/archive,https://open.spotify.com/artist/5OeSHuvHTS9qUgAUTt3GIR,5OeSHuvHTS9qUgAUTt3GIR,https://i.scdn.co/image/ab6761610000e5eb0e4f0c7f7c32a8edc705fb40,2026-08-18,No,,,,,,,
Kate Stephenson,Pop,Qualifies,91739,Summerfoot,271161,"Illinois singer-songwriter, genre-bending pop. Indie-distributed (Many Hats Distribution), not a major. CAUTION: already booked on a 21-date European tour (with Fairhazel) — likely has booking representation already, worth confirming before approach.",One Write Music (Substack),https://onewritemusic.substack.com/archive,https://open.spotify.com/artist/5RAwXhLQfEX5khIsfnvDne,5RAwXhLQfEX5khIsfnvDne,https://i.scdn.co/image/ab6761610000e5ebb3930c1a9e5df49bd6b4b9fe,2026-08-18,No,,,,,,,
Lauren Auder,Alt-Pop,Qualifies,53473,yes,124663,"British-French singer/producer. Touring small European clubs (Le Hasard Ludique, Brudenell Social Club). Released on small imprint untitled (recs).",Hear Hear (Substack),https://hearhear.substack.com/p/essential-summer-2026-playlists,https://open.spotify.com/artist/5rxf4rjZ5lyhKt7DWM5dLL,5rxf4rjZ5lyhKt7DWM5dLL,https://i.scdn.co/image/ab6761610000e5eb66f6c3d26c8ce5f002722a70,2026-08-18,No,,,,,,,
The Cindys,Power Pop,Qualifies,5751,Glass Shattered,4793,Bristol outfit making retro-tinged power pop — DIY called 'Glass Shattered' a certified earworm. Released on tiny UK label Breakfast Records. Extremely early.,DIY Magazine — The Neu Bulletin,https://diymag.com/feature/the-neu-bulletin-sailor-honeymoon-the-cindys-june-mcdoom-and-more,https://open.spotify.com/artist/6O0qcs3kv0stMY583BavCx,6O0qcs3kv0stMY583BavCx,https://i.scdn.co/image/ab6761610000e5eb02975b492380d04f2322ec2f,2026-08-18,No,,,,,,,
